,id,is_closed,review_count,rating,Restaurant Category,Pickup Available,Delivery Available,Reservation Available,Price Level
104,cCd7Qjs5_gXjJvkJvwS0EA,0,47,2.0,hotdogs,0,1,0,Low
105,eesJ6i0LRbgn7X6oCxFCZQ,0,90,3.0,soup,1,1,0,Low
106,UaqJjEwtWmI72QACt3x18A,0,165,1.5,coffee,0,1,0,Low
107,qXBX6r0WPWV2VnZupZxjDA,0,41,2.5,hotdogs,0,1,0,Low
108,JvC2xEnGrSnY_x7oeAE14Q,0,16,2.5,hotdogs,0,1,0,Low
109,SuKRjqrNZIsQEuRV3N_1cA,0,55,1.5,chickenshop,1,1,0,Low
111,DTU6zs0SJcii5r8TetsSgA,0,7,3.0,pizza,1,1,0,Low
112,oSrcfY9N4TFztv2agouNtA,0,24,1.5,sandwiches,1,1,0,Low
113,5Zpv34Q0FedYu9A24Felgw,0,155,4.0,mexican,0,1,0,Medium
114,8bZb25LrWSE4bbVtQqHQaQ,0,142,3.5,sandwiches,1,1,0,Medium
115,R0dGrbc1yTa48VLV91InUg,0,7,1.5,sandwiches,1,1,0,Low
116,g6H_JUQC_dV14MZvkVEsLg,0,45,3.5,desserts,1,1,0,Medium
117,VsQdpn2_KxXOBtj_cbLfCg,0,94,3.5,vegetarian,1,1,0,Medium
118,aB5bP5VAL7wpd5YyYV-HxQ,0,200,3.5,vegetarian,1,1,0,Medium
119,8F-LNn0pl3SVLYeFceVM5g,0,230,3.5,noodles,1,1,0,Medium
120,28BwwPQHZQUk_T-bifn_NQ,0,171,3.5,burgers,0,1,0,Medium
122,bqdjUIwYVlg8T00hzAgU3Q,0,154,3.5,tex-mex,1,1,0,Medium
123,SCqQaNz-VdtJsBF0-rDhug,0,73,2.5,sandwiches,1,1,0,Medium
125,MhXsR-K3udMpgiA4Pukrhw,0,172,2.5,tex-mex,1,1,0,Medium
126,6hDHVCKSnIPQG0TGkro_2w,0,194,3.0,indpak,1,1,0,Medium
128,BjTP0NhxjO3Z69-uDwjlIw,0,55,4.0,delis,1,1,0,Low
129,SxxFkcwfNxIbIBQ2JiwBgw,0,10,3.0,tradamerican,0,1,0,Medium
130,n7O4vrA0Pyoo2Es4lksdrg,0,48,2.5,sandwiches,1,1,0,Low
131,YJJeGldNu5riaHzdJckB4g,0,61,3.0,hotdogs,0,1,0,Low
133,BzUMAbGLTppRzIG-fbSOOg,0,125,3.0,salad,0,0,0,Low
134,wUPD1IWHdyh3nB4cH6e9KQ,0,14,2.0,hotdogs,0,1,0,Low
135,jmHvUUG1DTNeey2cGXfTUA,0,127,4.0,hawaiian,1,1,0,Low
136,wpvggwrUd-roXvIr1lSGRA,0,97,3.5,hotdogs,1,1,0,Low
137,2Nt2Q5nxHI39RgYxZZ9N-g,0,87,3.0,sandwiches,1,1,0,Medium
138,imuBwQgy4AZWx1y9YTwUDA,0,8,4.5,hotdogs,0,0,0,Low
139,KyMqxVfeBNCnSLZEkr4y0g,0,160,2.0,burgers,0,1,0,Low
140,uhOSmiTRR2r40pU5KV-X_A,0,43,3.0,hotdogs,0,1,0,Low
142,-KQ-YXlgq9-dlIwbVbRW-A,0,42,1.5,hotdogs,0,1,0,Low
143,oXuxRsNrLXx7QmH2MRbBRg,0,52,1.5,burgers,0,1,0,Low
148,X0GMsxXcQncx71ELKtSp8w,0,119,4.0,hotdog,0,0,0,Low
149,KFdJyuoszE7NEEBxQS5KFA,0,115,4.5,cafes,1,1,0,Medium
150,_XCKzCdyvs5TOnNAKwF5EA,0,73,3.0,mediterranean,0,0,0,Medium
151,mCaqhmCERtXf1Ytt3Kzb5g,0,93,4.0,cafes,1,1,0,Medium
152,S-Xv3BCb8Y3UstSxGemIwg,0,130,3.5,chinese,1,1,0,Medium
153,_dEy7wHFK5472D9VFYJ92Q,0,206,3.0,breakfast_brunch,0,1,0,Low
154,BW2dTsDsfvg28RnscUkAxw,0,56,4.0,delis,1,1,0,Low
155,T-KPkZ235kqoWFbDx2sONQ,0,161,1.0,coffee,0,1,0,Low
156,qxm8VbFFy6-GyLLbgscLyA,0,60,2.5,newamerican,1,1,0,Low
158,AQ0OMprwnFlYkFRoT6Fr-w,0,120,3.5,tradamerican,0,0,0,Medium
159,yyInJ3lw7rXGkp2TEnb3nw,0,233,4.0,pizza,1,1,0,Low
162,PzDZy9PTCYbuaMONj6Tiag,0,17,4.0,sandwiches,0,0,0,Low
163,z24kI4C6usrf-HrHV0-2ig,0,148,3.5,italian,1,1,0,Low
164,a_14dgr5WOW_XYkEXbep0A,0,36,2.0,pizza,0,0,0,Low
166,UPlWGA2JmY5fkZRyvXUQdA,0,142,3.0,tradamerican,1,1,0,Medium
167,Xj1xaMizHb87U5HwIkdZFA,0,315,4.0,chinese,0,1,0,Medium
168,9wAA64HxlsDGGMUviXxXyQ,0,117,3.5,newamerican,1,1,0,Medium
169,hMv8yA_1OTJ4ieH_5aAMuQ,0,69,3.0,mexican,0,1,0,Medium
170,_pJrK5CgwDVO_Y0rYUCMTw,0,37,1.5,sandwiches,0,0,0,Low
171,Alwgh6S_MMuy-2bwbDRKtQ,0,54,2.5,catering,1,1,0,Low
172,7dSJCOqiBd3dWkUaccvVqw,0,12,3.5,sushi,0,0,0,Low
175,Wrjm9S6WKKDj2kxqV40jqw,0,7,4.0,hotdogs,0,0,0,Low
176,TvfnPWq0_KAqFepc0Eowrg,0,388,4.0,tacos,1,1,0,Medium
177,Z3LXiGk9ArgQSNUKsihuhw,0,260,4.5,thai,1,1,0,Medium
180,DbGshk1aSz2gvfKadXf3hA,0,16,2.5,sandwiches,1,1,0,Low
181,e5hGi2KXJUWT1ijs_7Z-bg,0,257,4.0,chinese,0,1,0,Medium
183,J5KgGmPmzNX5owUyZVQIVg,0,314,3.5,hotdogs,1,1,0,Medium
185,Mk-vt-KaxL5vKEbm78dAog,0,129,4.0,japanese,1,1,0,Medium
187,kUg9xLGJRJ8v8rh2C6PKMA,0,112,3.0,mexican,1,1,0,Medium
188,poOYI-vXRWHmhz7fRPd3gA,0,61,4.0,beer_and_wine,0,0,0,Medium
189,qHWxt_82KsiDsU4_tiMlNQ,0,57,3.5,chinese,1,1,0,Low
191,kUTLx_nG_tZq5mxHV20jMA,0,133,3.5,comfortfood,1,1,0,Low
192,cEIkirpGljclPdTXg-mHgQ,0,447,3.5,bbq,1,1,0,Medium
193,JY1CpLWXdTils6iJ6kT7Xw,0,30,2.0,chicken_wings,1,1,0,Medium
198,LWYqf2ipwcQF-8LCkJakOw,0,106,3.0,soup,1,1,0,Medium
201,zxWGR6Rt1mGCqu3BpRGajw,0,24,3.0,indpak,1,1,0,Medium
202,Llw4JYGLDZByKQ0dtt7Qhg,0,97,3.0,pizza,1,1,0,Medium
205,iRIG9UDwZzQQqzVXwMb6-A,0,141,3.5,chicken_wings,1,1,0,Low
208,bCgqc6RDr0a5c0t5giS5RA,0,28,3.0,icecream,1,1,0,Low
209,IlMI7h8NdQUeBd6aTcp_qg,0,33,2.0,hotdogs,1,1,0,Low
210,FezBLXOhaZHG59R_X1fQaA,0,10,2.5,sandwiches,1,1,0,Low
211,sj4x_LtOVruBSHzCMUW-vw,0,226,4.0,tradamerican,0,1,0,Medium
213,WpOkFfb8xuaYV8SQfc3Yzg,0,122,4.5,breakfast_brunch,0,0,0,Medium
215,xUzzt6pgTf0Sy01X-ge63w,0,329,4.5,southern,0,1,0,Medium
216,ENPhfwodl_g1ey02eGY6tg,0,155,4.0,seafood,1,1,0,Medium
217,os_9iQIiQ--eSFvNAIul0A,0,315,4.0,seafood,1,1,0,Medium
218,QBhNEbSTqoRAQoCAh0gwAQ,0,619,4.0,desserts,1,1,0,Medium
219,Z3N__-JLDo1k0ukdH8Mm8g,0,408,4.0,sushi,1,1,0,Medium
220,K7cmD8XdKgMZO0KDfsw8VA,0,148,4.5,noodles,1,1,0,Medium
221,r3TwC0SGxwqlycndwJvRog,0,90,3.0,breakfast_brunch,1,1,0,Medium
222,TTjP3BiTwjjUajqQZcU8KQ,0,199,4.0,sushi,1,1,0,Medium
223,AKMIIvW8JDuDOjRzaN4ntw,0,96,4.0,chinese,1,1,0,Low
224,NXLO7IxmBkUMe2wBm2Jf1g,0,310,4.0,tex-mex,0,1,0,Medium
225,oHvIrycm6jsBZhBVFfOLaA,0,163,3.0,mexican,1,1,0,Low
226,i1zEl3cr3_og02V_UpJrPA,0,54,3.5,chicken_wings,0,0,0,Low
227,-IyQj3-fwnQwK4yR-F5aCw,0,68,4.0,sushi,1,1,0,Medium
228,ggum6770Bhf_DUsbuvnPyg,0,74,2.0,tradamerican,1,1,0,Low
229,rjaxz6DXmdVJWqwb5NYfGg,0,141,2.0,chicken_wings,0,0,0,Medium
230,pgCVN3jDsDZ3CF1NtiNzgw,0,63,2.0,burgers,1,1,0,Low
231,4Q-avUTinF4ahNuc_UDxYA,0,36,2.0,coffee,0,1,0,Low
232,APcCju8-e4Pi8wqIM2txIg,0,6,3.0,sandwiches,1,1,0,Low
233,WQbMbt_WwyUNxzg6QVzsEw,0,229,4.5,sushi,0,1,0,Medium
234,6iS4Z3ZOx56KsNTId0Xphg,0,66,4.0,italian,0,0,0,Medium
239,pdh_lSQmWok-ziY-_zSPEg,0,365,3.5,burgers,1,1,0,Medium
241,It5tdF9-kQpnxMOaNMsatA,0,178,3.5,cocktailbars,1,1,0,Medium
243,IC1A5xLL1OSK1Q7j6jYJeQ,0,87,3.0,cupcakes,1,1,0,Low
244,Y8R6dBxCTuUapbaCscnJiQ,0,109,3.0,tradamerican,1,1,0,Medium
245,-o0BRJ9KapCBiZkyMWSEvg,0,167,3.5,gluten_free,1,1,0,Medium
246,DDs6SgnILpNZ43D8ILk_og,0,178,2.5,tradamerican,0,1,0,Medium
247,SxgZPDwoNHmQeqdFA2adaQ,0,101,3.5,desserts,0,1,0,Medium
248,AiTCz58xj4U5RbSkePlV-g,0,36,1.5,tacos,0,1,0,Low
249,38BtkjnAB0otMbV0iaU4Ow,0,5,4.5,hotdogs,0,0,0,Medium
