X,Y,id,Unnamed: 3,0,1
-10789390.9494,3924457.961,0,,-96.92274796186854,33.219369763091024
-10788390.9494,3924457.961,1,,-96.91376480902734,33.219369763091024
-10787390.9494,3924457.961,2,,-96.90478165618616,33.219369763091024
-10786390.9494,3924457.961,3,,-96.89579850334496,33.219369763091024
-10785390.9494,3924457.961,4,,-96.88681535050375,33.219369763091024
-10784390.9494,3924457.961,5,,-96.87783219766256,33.219369763091024
-10783390.9494,3924457.961,6,,-96.86884904482136,33.219369763091024
-10782390.9494,3924457.961,7,,-96.85986589198018,33.219369763091024
-10781390.9494,3924457.961,8,,-96.85088273913898,33.219369763091024
-10780390.9494,3924457.961,9,,-96.84189958629779,33.219369763091024
-10779390.9494,3924457.961,10,,-96.83291643345659,33.219369763091024
-10778390.9494,3924457.961,11,,-96.82393328061539,33.219369763091024
-10777390.9494,3924457.961,12,,-96.8149501277742,33.219369763091024
-10776390.9494,3924457.961,13,,-96.80596697493301,33.219369763091024
-10775390.9494,3924457.961,14,,-96.79698382209182,33.219369763091024
-10774390.9494,3924457.961,15,,-96.78800066925061,33.219369763091024
-10773390.9494,3924457.961,16,,-96.77901751640941,33.219369763091024
-10772390.9494,3924457.961,17,,-96.77003436356821,33.219369763091024
-10771390.9494,3924457.961,18,,-96.76105121072702,33.219369763091024
-10770390.9494,3924457.961,19,,-96.75206805788584,33.219369763091024
-10769390.9494,3924457.961,20,,-96.74308490504464,33.219369763091024
-10768390.9494,3924457.961,21,,-96.73410175220344,33.219369763091024
-10789390.9494,3923457.961,22,,-96.92274796186854,33.211854321954455
-10788390.9494,3923457.961,23,,-96.91376480902734,33.211854321954455
-10787390.9494,3923457.961,24,,-96.90478165618616,33.211854321954455
-10786390.9494,3923457.961,25,,-96.89579850334496,33.211854321954455
-10785390.9494,3923457.961,26,,-96.88681535050375,33.211854321954455
-10784390.9494,3923457.961,27,,-96.87783219766256,33.211854321954455
-10783390.9494,3923457.961,28,,-96.86884904482136,33.211854321954455
-10782390.9494,3923457.961,29,,-96.85986589198018,33.211854321954455
-10781390.9494,3923457.961,30,,-96.85088273913898,33.211854321954455
-10780390.9494,3923457.961,31,,-96.84189958629779,33.211854321954455
-10779390.9494,3923457.961,32,,-96.83291643345659,33.211854321954455
-10778390.9494,3923457.961,33,,-96.82393328061539,33.211854321954455
-10777390.9494,3923457.961,34,,-96.8149501277742,33.211854321954455
-10776390.9494,3923457.961,35,,-96.80596697493301,33.211854321954455
-10775390.9494,3923457.961,36,,-96.79698382209182,33.211854321954455
-10774390.9494,3923457.961,37,,-96.78800066925061,33.211854321954455
-10773390.9494,3923457.961,38,,-96.77901751640941,33.211854321954455
-10772390.9494,3923457.961,39,,-96.77003436356821,33.211854321954455
-10771390.9494,3923457.961,40,,-96.76105121072702,33.211854321954455
-10770390.9494,3923457.961,41,,-96.75206805788584,33.211854321954455
-10769390.9494,3923457.961,42,,-96.74308490504464,33.211854321954455
-10768390.9494,3923457.961,43,,-96.73410175220344,33.211854321954455
-10789390.9494,3922457.961,44,,-96.92274796186854,33.20433823538538
-10788390.9494,3922457.961,45,,-96.91376480902734,33.20433823538538
-10787390.9494,3922457.961,46,,-96.90478165618616,33.20433823538538
-10786390.9494,3922457.961,47,,-96.89579850334496,33.20433823538538
-10785390.9494,3922457.961,48,,-96.88681535050375,33.20433823538538
-10784390.9494,3922457.961,49,,-96.87783219766256,33.20433823538538
-10783390.9494,3922457.961,50,,-96.86884904482136,33.20433823538538
-10782390.9494,3922457.961,51,,-96.85986589198018,33.20433823538538
-10781390.9494,3922457.961,52,,-96.85088273913898,33.20433823538538
-10780390.9494,3922457.961,53,,-96.84189958629779,33.20433823538538
-10779390.9494,3922457.961,54,,-96.83291643345659,33.20433823538538
-10778390.9494,3922457.961,55,,-96.82393328061539,33.20433823538538
-10777390.9494,3922457.961,56,,-96.8149501277742,33.20433823538538
-10776390.9494,3922457.961,57,,-96.80596697493301,33.20433823538538
-10775390.9494,3922457.961,58,,-96.79698382209182,33.20433823538538
-10774390.9494,3922457.961,59,,-96.78800066925061,33.20433823538538
-10773390.9494,3922457.961,60,,-96.77901751640941,33.20433823538538
-10772390.9494,3922457.961,61,,-96.77003436356821,33.20433823538538
-10771390.9494,3922457.961,62,,-96.76105121072702,33.20433823538538
-10770390.9494,3922457.961,63,,-96.75206805788584,33.20433823538538
-10769390.9494,3922457.961,64,,-96.74308490504464,33.20433823538538
-10768390.9494,3922457.961,65,,-96.73410175220344,33.20433823538538
-10789390.9494,3921457.961,66,,-96.92274796186854,33.19682150345771
-10788390.9494,3921457.961,67,,-96.91376480902734,33.19682150345771
-10787390.9494,3921457.961,68,,-96.90478165618616,33.19682150345771
-10786390.9494,3921457.961,69,,-96.89579850334496,33.19682150345771
-10785390.9494,3921457.961,70,,-96.88681535050375,33.19682150345771
-10784390.9494,3921457.961,71,,-96.87783219766256,33.19682150345771
-10783390.9494,3921457.961,72,,-96.86884904482136,33.19682150345771
-10782390.9494,3921457.961,73,,-96.85986589198018,33.19682150345771
-10781390.9494,3921457.961,74,,-96.85088273913898,33.19682150345771
-10780390.9494,3921457.961,75,,-96.84189958629779,33.19682150345771
-10779390.9494,3921457.961,76,,-96.83291643345659,33.19682150345771
-10778390.9494,3921457.961,77,,-96.82393328061539,33.19682150345771
-10777390.9494,3921457.961,78,,-96.8149501277742,33.19682150345771
-10776390.9494,3921457.961,79,,-96.80596697493301,33.19682150345771
-10775390.9494,3921457.961,80,,-96.79698382209182,33.19682150345771
