,id,is_claimed,is_closed,review_count,rating,Pickup Available,Delivery Available,Reservation Available,Price Level,number of photos,City,State,Opening Time,Closing Time,Has Messaging
60,qjITTDhThRP7l9YR1xr5Rw,True,False,239,4.0,0,1,0,Medium,3,McKinney,TX,1100,2130,0
61,8pfCGsHj3Vm81QLQU94EpA,True,False,168,1.5,1,1,0,Low,3,Prosper,TX,1000,2200,0
62,bIm_I9zf-xSEqvaOgAJHow,False,False,172,3.5,0,1,0,Medium,3,McKinney,TX,,,0
63,4K1dzfPHYurRWc2xK_6bxA,False,False,14,2.0,0,0,0,,3,McKinney,TX,0600,2245,0
64,PA-AJwmLljfAC8g6MY-l3g,True,False,76,3.0,1,1,0,Medium,3,Prosper,TX,1100,2100,1
65,vjjTBUQ_WVcKXUpofnjA9Q,True,False,58,2.0,1,1,0,Low,3,Prosper,TX,0930,0000,0
66,bBYik7QanfVMBYb3i3augA,True,False,50,2.5,0,0,0,Medium,3,McKinney,TX,1100,2300,0
67,U1-htRRFX9wo3HnsnWsWng,True,False,56,2.5,0,1,0,Low,3,Mckinney,TX,0000,0000,0
68,YADkKuo2fRrwhUa1NasIWQ,True,False,60,1.5,0,1,0,Low,3,Prosper,TX,0600,0000,0
69,aWri1w8P-noEj8H0DeLeYg,True,False,47,4.5,1,1,0,Medium,3,Mckinney,TX,1100,1500,0
70,FLgsL_4C6xV7ZrkXyvBLVw,True,False,77,4.0,1,1,0,,3,McKinney,TX,1000,2300,1
71,iJm0T1cCFO9IRHwvESCo8w,True,False,244,4.0,0,1,0,Medium,3,Mckinney,TX,1100,2200,1
72,rgyGjJp-6JsvVTZthwJtzw,True,False,60,2.0,1,1,0,Low,3,McKinney,TX,,,1
73,6iywwOtYOjTBOVxPvP_xaA,True,False,37,3.0,1,1,0,Low,3,Mckinney,TX,0600,0000,0
74,L0ZTFpP581_t6xesZPklGA,False,False,12,2.5,0,0,0,Low,3,McKinney,TX,1100,2100,0
75,RI2ucLondiayyI30J6oKMA,True,False,419,4.0,0,1,0,Medium,3,McKinney,TX,1100,2200,0
76,DS9-YZdhErxrTeqw0pnFQQ,True,False,116,3.0,0,1,0,Medium,3,McKinney,TX,1115,2130,0
77,5-Z62vbCFS05WHMTEr_Waw,True,False,58,1.5,0,1,0,Low,3,McKinney,TX,0800,0200,0
78,EyXBigvw_MrGyckC3WeSNQ,True,False,54,1.5,0,1,0,Low,3,Mckinney,TX,1100,2200,0
79,rMLYkzXa9bJ3GgvB51_9BQ,True,False,57,2.5,0,0,0,Low,3,McKinney,TX,1000,0000,0
80,P2YDkwSbfOt_dBCz-kzsmw,True,False,83,4.0,1,1,0,,3,Little Elm,TX,1100,1430,1
81,CvjkIAAakBUg9h1x3-Bwow,True,False,49,1.5,0,0,0,Low,3,Little Elm,TX,0600,2300,0
82,TOIN3_aVIaPjGTJRvvbZmw,True,False,257,3.5,1,1,0,Low,3,Mckinney,TX,0800,2100,0
83,4scGfgdDKJgf5oIJtFWMow,True,False,411,4.0,0,1,0,Medium,3,Frisco,TX,0700,1430,0
84,j6dDGi3iIu7UFXAGcbFtCw,False,False,332,4.0,0,1,0,Medium,3,Frisco,TX,1100,1430,0
85,SEiQjsJgaJStMQQPwq8gBA,True,False,34,3.5,0,1,0,Low,3,Frisco,TX,1100,2000,1
86,uDdQOtDdPv9_3xEAD-SyEQ,True,False,391,3.0,0,1,0,Medium,3,Little Elm,TX,1100,0000,0
87,MW4BQQ7FqSGmRXbflOf32A,True,False,126,4.0,1,1,0,Medium,3,Little Elm,TX,1100,2100,0
88,0mF8ergglfGHfNv7BnC8xA,True,False,227,4.5,0,1,0,Medium,3,Little Elm,TX,1500,2100,0
89,_qyd2BjqAj9HSUG_orR0IA,True,False,103,2.5,1,1,0,Medium,3,Little Elm,TX,1100,0200,0
90,zl1X-9mprr35PDvLCHETEw,True,False,18,4.0,1,1,0,Medium,3,Little Elm,TX,1100,2200,0
91,B_2g2gD5jELS2Jhd2Q7Y1w,True,False,96,3.0,1,1,0,Medium,3,Frisco,TX,1100,0200,0
92,gi4vOTfyHYdG9yKWGIFnGQ,False,False,102,3.5,1,0,0,Low,3,Little Elm,TX,1100,2100,0
93,QJFlzbDYd0xJrcGiQeJ6PQ,True,False,85,4.5,1,1,0,Low,3,Little Elm,TX,0430,1230,0
94,rneHZ-Ls54Zx0_Y1qVkeTg,True,False,7,3.0,1,1,0,,3,Little Elm,TX,1100,2200,1
95,R2c9TlPKQgfSEPPCHGLrXA,True,False,334,3.5,1,1,0,Low,3,Little Elm,TX,1100,2200,0
96,NQteur0m7_WL3kxQ_3lUDA,True,False,235,3.5,1,1,0,Low,3,Frisco,TX,1100,2100,1
97,aPF1nW2ecOTyFjf3ZCTtnw,True,False,140,2.0,1,1,0,Medium,3,Little Elm,TX,1100,0000,0
98,Ju9FG4YpXcyPvdJHZuro8A,True,False,108,3.0,0,1,0,Medium,3,Frisco,TX,1100,1430,0
99,s5RrKMbJR3mzfzUgZQdrfA,True,False,135,1.5,1,1,0,Low,3,Little Elm,TX,1030,2200,0
100,KICoweaVCo7ok7UH589zmA,True,False,69,2.0,1,1,0,Low,3,Frisco,TX,1030,2200,0
101,CBmSNb_77S3CI7KWVDaeCw,True,False,23,3.0,1,1,0,Low,3,Little Elm,TX,1100,2200,0
102,Xs9AdIIW07fCNh9ySrARPg,True,False,60,1.5,1,1,0,Low,3,Little Elm,TX,0600,2300,0
103,JJpou9UZElV_COC_eolWKA,True,False,62,2.5,1,0,0,Medium,2,Little Elm,TX,1100,2100,0
104,cCd7Qjs5_gXjJvkJvwS0EA,True,False,47,2.0,0,1,0,Low,3,Frisco,TX,1000,0000,0
105,eesJ6i0LRbgn7X6oCxFCZQ,True,False,90,3.0,1,1,0,Low,3,Little Elm,TX,1100,2130,0
106,UaqJjEwtWmI72QACt3x18A,True,False,165,1.5,0,1,0,Low,3,Little Elm,TX,0000,0000,0
107,qXBX6r0WPWV2VnZupZxjDA,True,False,41,2.5,0,1,0,Low,3,Little Elm,TX,0800,0000,0
108,JvC2xEnGrSnY_x7oeAE14Q,True,False,16,2.5,0,1,0,Low,3,Frisco,TX,1100,2200,0
109,SuKRjqrNZIsQEuRV3N_1cA,True,False,55,1.5,1,1,0,Low,3,Little Elm,TX,1030,2300,0
110,xP0UfpcFPWyCcpvoi9HE6w,True,False,28,1.5,1,1,0,,3,Little Elm,TX,1030,2200,0
