X,Y,id,Unnamed: 3,0,1
-12840159.3559721,4311201.52338669,0,,-115.34511400000007,36.07685399999994
-12839159.3559721,4311201.52338669,1,,-115.33613084715887,36.07685399999994
-12838159.3559721,4311201.52338669,2,,-115.3271476943177,36.07685399999994
-12837159.3559721,4311201.52338669,3,,-115.3181645414765,36.07685399999994
-12836159.3559721,4311201.52338669,4,,-115.30918138863531,36.07685399999994
-12835159.3559721,4311201.52338669,5,,-115.30019823579411,36.07685399999994
-12834159.3559721,4311201.52338669,6,,-115.29121508295292,36.07685399999994
-12833159.3559721,4311201.52338669,7,,-115.28223193011172,36.07685399999994
-12832159.3559721,4311201.52338669,8,,-115.27324877727051,36.07685399999994
-12831159.3559721,4311201.52338669,9,,-115.26426562442931,36.07685399999994
-12830159.3559721,4311201.52338669,10,,-115.25528247158812,36.07685399999994
-12829159.3559721,4311201.52338669,11,,-115.24629931874692,36.07685399999994
-12828159.3559721,4311201.52338669,12,,-115.23731616590572,36.07685399999994
-12827159.3559721,4311201.52338669,13,,-115.22833301306456,36.07685399999994
-12826159.3559721,4311201.52338669,14,,-115.21934986022336,36.07685399999994
-12825159.3559721,4311201.52338669,15,,-115.21036670738216,36.07685399999994
-12824159.3559721,4311201.52338669,16,,-115.20138355454097,36.07685399999994
-12823159.3559721,4311201.52338669,17,,-115.19240040169977,36.07685399999994
-12822159.3559721,4311201.52338669,18,,-115.18341724885858,36.07685399999994
-12821159.3559721,4311201.52338669,19,,-115.17443409601736,36.07685399999994
-12820159.3559721,4311201.52338669,20,,-115.16545094317617,36.07685399999994
-12819159.3559721,4311201.52338669,21,,-115.15646779033497,36.07685399999994
-12840159.3559721,4310201.52338669,22,,-115.34511400000007,36.069593230645964
-12839159.3559721,4310201.52338669,23,,-115.33613084715887,36.069593230645964
-12838159.3559721,4310201.52338669,24,,-115.3271476943177,36.069593230645964
-12837159.3559721,4310201.52338669,25,,-115.3181645414765,36.069593230645964
-12836159.3559721,4310201.52338669,26,,-115.30918138863531,36.069593230645964
-12835159.3559721,4310201.52338669,27,,-115.30019823579411,36.069593230645964
-12834159.3559721,4310201.52338669,28,,-115.29121508295292,36.069593230645964
-12833159.3559721,4310201.52338669,29,,-115.28223193011172,36.069593230645964
-12832159.3559721,4310201.52338669,30,,-115.27324877727051,36.069593230645964
-12831159.3559721,4310201.52338669,31,,-115.26426562442931,36.069593230645964
-12830159.3559721,4310201.52338669,32,,-115.25528247158812,36.069593230645964
-12829159.3559721,4310201.52338669,33,,-115.24629931874692,36.069593230645964
-12828159.3559721,4310201.52338669,34,,-115.23731616590572,36.069593230645964
-12827159.3559721,4310201.52338669,35,,-115.22833301306456,36.069593230645964
-12826159.3559721,4310201.52338669,36,,-115.21934986022336,36.069593230645964
-12825159.3559721,4310201.52338669,37,,-115.21036670738216,36.069593230645964
-12824159.3559721,4310201.52338669,38,,-115.20138355454097,36.069593230645964
-12823159.3559721,4310201.52338669,39,,-115.19240040169977,36.069593230645964
-12822159.3559721,4310201.52338669,40,,-115.18341724885858,36.069593230645964
-12821159.3559721,4310201.52338669,41,,-115.17443409601736,36.069593230645964
-12820159.3559721,4310201.52338669,42,,-115.16545094317617,36.069593230645964
-12819159.3559721,4310201.52338669,43,,-115.15646779033497,36.069593230645964
-12840159.3559721,4309201.52338669,44,,-115.34511400000007,36.062331791017556
-12839159.3559721,4309201.52338669,45,,-115.33613084715887,36.062331791017556
-12838159.3559721,4309201.52338669,46,,-115.3271476943177,36.062331791017556
-12837159.3559721,4309201.52338669,47,,-115.3181645414765,36.062331791017556
-12836159.3559721,4309201.52338669,48,,-115.30918138863531,36.062331791017556
-12835159.3559721,4309201.52338669,49,,-115.30019823579411,36.062331791017556
-12834159.3559721,4309201.52338669,50,,-115.29121508295292,36.062331791017556
-12833159.3559721,4309201.52338669,51,,-115.28223193011172,36.062331791017556
-12832159.3559721,4309201.52338669,52,,-115.27324877727051,36.062331791017556
-12831159.3559721,4309201.52338669,53,,-115.26426562442931,36.062331791017556
-12830159.3559721,4309201.52338669,54,,-115.25528247158812,36.062331791017556
-12829159.3559721,4309201.52338669,55,,-115.24629931874692,36.062331791017556
-12828159.3559721,4309201.52338669,56,,-115.23731616590572,36.062331791017556
-12827159.3559721,4309201.52338669,57,,-115.22833301306456,36.062331791017556
-12826159.3559721,4309201.52338669,58,,-115.21934986022336,36.062331791017556
-12825159.3559721,4309201.52338669,59,,-115.21036670738216,36.062331791017556
-12824159.3559721,4309201.52338669,60,,-115.20138355454097,36.062331791017556
-12823159.3559721,4309201.52338669,61,,-115.19240040169977,36.062331791017556
-12822159.3559721,4309201.52338669,62,,-115.18341724885858,36.062331791017556
-12821159.3559721,4309201.52338669,63,,-115.17443409601736,36.062331791017556
