"","Restaurant.Category.1","id","is_claimed","is_closed","review_count","rating","Pickup.Available","Delivery.Available","Reservation.Available","Price.Level","number.of.photos","City","State","Opening.Time","Closing.Time","Has.Messaging","reduced.category","Open_Breakfast","Open_Lunch","Open_Dinner","Open_Late"
"33","bars","wrNNYaLz8vfqvKzafGjnQA","True","False",573,3.5,1,0,0,"Medium",3,"The Colony","TX",1500,2300,0,"Alcohol",FALSE,FALSE,TRUE,TRUE
"34","bbq","9VqZZiaiyGH_6smpvUKaQQ","True","False",127,4.5,0,0,0,"Medium",3,"Aubrey","TX",700,2100,0,"American",TRUE,TRUE,TRUE,FALSE
"35","bbq","0stvkgthyTTqMl2gHBrk2g","True","False",116,4.5,0,0,0,"Medium",3,"The Colony","TX",1200,2000,1,"American",FALSE,TRUE,TRUE,FALSE
"36","bbq","5ER1LVy_PBHfz0GZyW067Q","True","False",8,3,0,0,0,"",3,"Frisco","TX",1600,2100,0,"American",FALSE,FALSE,TRUE,FALSE
"37","bbq","HCRlFBO5C21rGzQN8qA_cg","False","False",2,4.5,0,0,0,"",0,"McKinney","TX",NA,NA,0,"American",NA,NA,NA,NA
"38","bbq","cEIkirpGljclPdTXg-mHgQ","True","False",447,3.5,1,1,0,"Medium",3,"Frisco","TX",700,2100,0,"American",TRUE,TRUE,TRUE,FALSE
"39","bbq","_G7hGWuaK-KRqYVGuH-OLw","True","False",17,4,0,0,0,"",3,"Plano","TX",1100,2100,0,"American",FALSE,TRUE,TRUE,FALSE
"40","bbq","2h0AeH-Z02YaG6MUy8zRJA","True","False",5,3.5,1,1,0,"",3,"The Colony","TX",700,2100,0,"American",TRUE,TRUE,TRUE,FALSE
"41","bbq","FJAPln5z1Y85RpQsnLuRzg","True","False",157,3.5,0,1,0,"Medium",3,"Frisco","TX",1100,2100,0,"American",FALSE,TRUE,TRUE,FALSE
"42","bbq","DtYMJeVbFgGXroWYUX5P4Q","True","False",1825,4.5,0,1,0,"Medium",3,"Frisco","TX",1100,2100,0,"American",FALSE,TRUE,TRUE,FALSE
"43","bbq","sPUbrRvGAPa4urHB0_6rmg","True","False",311,4,0,0,0,"Medium",3,"Frisco","TX",1100,2200,0,"American",FALSE,TRUE,TRUE,FALSE
"44","bbq","fsArw_200gqcuyvOtWL98w","True","False",355,4.5,0,1,0,"Medium",3,"Frisco","TX",700,2100,0,"American",TRUE,TRUE,TRUE,FALSE
"45","bbq","3t-zZGvSM5w5x5GsegbcpQ","True","False",16,3,0,0,0,"",3,"Frisco","TX",1100,2100,0,"American",FALSE,TRUE,TRUE,FALSE
"46","bbq","eL0fRp3FvuPsSkB7iAWnwA","True","False",86,4,1,1,1,"Medium",3,"Frisco","TX",1600,200,0,"American",FALSE,FALSE,FALSE,FALSE
"47","bbq","ODbbhY_o8aNwdv-_PUFZpg","False","False",29,2.5,1,1,0,"",3,"Prosper","TX",NA,NA,0,"American",NA,NA,NA,NA
"48","bbq","JY1CpLWXdTils6iJ6kT7Xw","True","False",30,2,1,1,0,"Medium",3,"Frisco","TX",1100,2100,0,"American",FALSE,TRUE,TRUE,FALSE
"49","bbq","icbNjFkK_Knw4C7Rf2hJfw","True","False",45,3,1,1,0,"Medium",3,"Frisco","TX",1100,2100,0,"American",FALSE,TRUE,TRUE,FALSE
"50","bbq","JJpou9UZElV_COC_eolWKA","True","False",62,2.5,1,0,0,"Medium",2,"Little Elm","TX",1100,2100,0,"American",FALSE,TRUE,TRUE,FALSE
"51","bbq","PA-AJwmLljfAC8g6MY-l3g","True","False",76,3,1,1,0,"Medium",3,"Prosper","TX",1100,2100,1,"American",FALSE,TRUE,TRUE,FALSE
"52","bbq","yTLCJduGNoCQthPTEF7S-A","True","False",58,2.5,1,1,0,"Medium",3,"McKinney","TX",1100,2100,0,"American",FALSE,TRUE,TRUE,FALSE
"53","bowling","DDs6SgnILpNZ43D8ILk_og","True","False",178,2.5,0,1,0,"Medium",3,"Frisco","TX",1100,100,0,"Non-Restaurant",FALSE,FALSE,FALSE,FALSE
"54","brazilian","0lBMAhaYMjJn6hif_wHdAQ","True","False",464,4,1,1,0,"High",3,"Plano","TX",1100,1500,0,"Latin American",FALSE,TRUE,FALSE,FALSE
"55","brazilian","P-nmEhRKXLKnAaBOtx4ENA","True","False",546,4.5,1,1,0,"High",3,"Frisco","TX",1630,2100,0,"Latin American",FALSE,FALSE,TRUE,FALSE
"56","brazilian","PP_Aqo-FuKPQcM1s6AelXw","True","False",181,4,0,0,0,"Medium",3,"Plano","TX",1630,2100,1,"Latin American",FALSE,FALSE,TRUE,FALSE
"57","breakfast_brunch","9wAA64HxlsDGGMUviXxXyQ","True","False",117,3.5,1,1,0,"Medium",3,"Little Elm","TX",700,1400,1,"American",TRUE,TRUE,FALSE,FALSE
"58","breakfast_brunch","arrOJBiqOsQ-zBx1tXntiw","True","False",208,4.5,0,0,0,"Medium",3,"Plano","TX",1000,2100,0,"American",TRUE,TRUE,TRUE,FALSE
"59","breakfast_brunch","BbYl_rVZDFPQyT6tuNQDBw","True","False",396,4.5,1,1,0,"Medium",3,"Frisco","TX",700,1500,0,"American",TRUE,TRUE,FALSE,FALSE
"60","breakfast_brunch","trYkuKXsOZcyczi12Sfyiw","False","False",3,5,0,0,0,"",3,"Frisco","TX",NA,NA,0,"American",NA,NA,NA,NA
"61","breakfast_brunch","ux7_my9gBCAY9Fae0-bc4w","True","False",288,4,1,1,0,"Medium",3,"Frisco","TX",700,1500,1,"American",TRUE,TRUE,FALSE,FALSE
"62","breakfast_brunch","rdTDtfC1T70Z4lBPP9NoJQ","True","False",97,4,1,1,0,"Low",3,"Frisco","TX",600,1400,0,"American",TRUE,TRUE,FALSE,FALSE
"63","breakfast_brunch","xUzzt6pgTf0Sy01X-ge63w","True","False",329,4.5,0,1,0,"Medium",3,"Frisco","TX",700,1400,0,"American",TRUE,TRUE,FALSE,FALSE
"64","breakfast_brunch","zxu9YPbSm-2u5MXhGPxZcQ","False","False",1,4,0,0,0,"",3,"Frisco","TX",800,1700,0,"American",TRUE,TRUE,FALSE,FALSE
"65","breakfast_brunch","BkOI4SjFFlNHEowjVH-yzg","True","False",339,4,0,0,0,"Medium",3,"Frisco","TX",700,1430,0,"American",TRUE,TRUE,FALSE,FALSE
"66","breakfast_brunch","3m1fFOsPlS2cpq1hBCPShA","True","False",872,4.5,0,1,0,"Medium",3,"Frisco","TX",700,1430,0,"American",TRUE,TRUE,FALSE,FALSE
"67","breakfast_brunch","Yj9R7Lxon-lF1lpZ4C1Whg","True","False",91,4.5,0,0,0,"Medium",3,"McKinney","TX",700,1500,0,"American",TRUE,TRUE,FALSE,FALSE
"68","breakfast_brunch","4scGfgdDKJgf5oIJtFWMow","True","False",411,4,0,1,0,"Medium",3,"Frisco","TX",700,1430,0,"American",TRUE,TRUE,FALSE,FALSE
"69","breakfast_brunch","UJyaOs7eq_oB1aI1ZSAh0w","True","False",424,4.5,0,1,0,"Medium",3,"Frisco","TX",700,1500,0,"American",TRUE,TRUE,FALSE,FALSE
"70","breakfast_brunch","whEjz4CSMkfo-XRxy8vkbw","True","False",195,4,0,0,0,"Medium",3,"Plano","TX",700,1400,0,"American",TRUE,TRUE,FALSE,FALSE
"71","breakfast_brunch","cmi1LffsFyRyO7wJ2fesmg","True","False",1247,4,1,1,0,"Low",3,"Plano","TX",800,2100,0,"American",TRUE,TRUE,TRUE,FALSE
"72","breakfast_brunch","U0bNPDmJuKnc9I5KR3nrZQ","True","False",18,3,0,1,0,"Medium",3,"Plano","TX",1600,2200,1,"American",FALSE,FALSE,TRUE,FALSE
"73","breakfast_brunch","k-UKMQWZ7Cs9o7z9KGXAhg","True","False",34,4.5,1,1,0,"",3,"Lewisville","TX",630,1500,1,"American",TRUE,TRUE,FALSE,FALSE
"74","breakfast_brunch","QDQwPO2PnhEPW950ezBsrg","True","False",83,4,0,1,0,"Medium",3,"Frisco","TX",700,1430,0,"American",TRUE,TRUE,FALSE,FALSE
"75","breakfast_brunch","SNHOYL6JEXEiL_ORK2IRfQ","True","False",103,3,0,0,0,"",3,"Prosper","TX",700,1430,0,"American",TRUE,TRUE,FALSE,FALSE
"76","breakfast_brunch","yOQAuEsb5GHAkjXV0M-fFw","True","False",78,4,0,0,0,"Medium",3,"Aubrey","TX",700,1500,0,"American",TRUE,TRUE,FALSE,FALSE
"77","breakfast_brunch","Z9ejlDeudZqQ1rD0Ae1X3g","False","False",1,4,0,0,0,"",3,"Plano","TX",NA,NA,0,"American",NA,NA,NA,NA
"78","breakfast_brunch","QJFlzbDYd0xJrcGiQeJ6PQ","True","False",85,4.5,1,1,0,"Low",3,"Little Elm","TX",430,1230,0,"American",TRUE,TRUE,FALSE,FALSE
"79","breakfast_brunch","KCFAvlZcU8KOkx-MnOThcQ","False","False",3,5,1,1,0,"",3,"Frisco","TX",1100,2100,0,"American",FALSE,TRUE,TRUE,FALSE
"80","breakfast_brunch","yFhHi-2NQL45W7dwu3zs8w","True","False",651,4,1,1,0,"Medium",3,"Plano","TX",630,1400,1,"American",TRUE,TRUE,FALSE,FALSE
"81","breakfast_brunch","-Y7lHLK6zVzpS74d92wTBQ","True","False",484,4.5,0,1,0,"Medium",3,"Frisco","TX",700,1430,0,"American",TRUE,TRUE,FALSE,FALSE
"82","breakfast_brunch","ECJSJo48XjK9nz5xu1ut1Q","True","False",11,4.5,0,0,0,"Medium",3,"Plano","TX",700,0,1,"American",TRUE,FALSE,FALSE,FALSE
"83","breakfast_brunch","WpOkFfb8xuaYV8SQfc3Yzg","True","False",123,4.5,0,0,0,"Medium",3,"Frisco","TX",700,1430,0,"American",TRUE,TRUE,FALSE,FALSE
"84","breakfast_brunch","Do4OPvA_2ogF-adBTuwe5Q","True","False",248,1.5,1,1,0,"Low",3,"Frisco","TX",0,0,0,"American",TRUE,FALSE,FALSE,FALSE
"85","breakfast_brunch","mCaqhmCERtXf1Ytt3Kzb5g","True","False",93,4,1,1,0,"Medium",3,"Frisco","TX",700,1430,0,"American",TRUE,TRUE,FALSE,FALSE
"86","breakfast_brunch","eLLlvggmbTMdK-tvubXmCA","True","False",722,4.5,0,1,0,"Medium",3,"Frisco","TX",700,1500,0,"American",TRUE,TRUE,FALSE,FALSE
"87","breakfast_brunch","AQ0OMprwnFlYkFRoT6Fr-w","True","False",120,3.5,0,0,0,"Medium",3,"McKinney","TX",700,1430,0,"American",TRUE,TRUE,FALSE,FALSE
"88","breakfast_brunch","I8kjxgLslqaNwybm1dKkag","True","False",20,4.5,1,1,0,"",3,"Frisco","TX",700,1400,1,"American",TRUE,TRUE,FALSE,FALSE
"89","breakfast_brunch","NUKEqZp54WUS7-Qc3JnLyw","True","False",299,4,1,1,0,"Medium",3,"Frisco","TX",630,1430,0,"American",TRUE,TRUE,FALSE,FALSE
"90","breakfast_brunch","qa4tf-_h-k5dLw0Gy84ecw","True","False",15,4.5,0,0,0,"",3,"Frisco","TX",630,1430,0,"American",TRUE,TRUE,FALSE,FALSE
"91","breakfast_brunch","6gc2Of2_XRiEh9zL68tJfw","True","False",58,1.5,1,1,0,"Medium",3,"Frisco","TX",600,0,1,"American",TRUE,FALSE,FALSE,FALSE
"92","british","p-teu1Zk4UAFMUvxQ5vd2A","True","False",136,3,0,1,0,"Medium",3,"Plano","TX",1500,200,0,NA,FALSE,FALSE,FALSE,FALSE
"93","bubbletea","YmrfIxrEkkPpjvJ1k3kdCA","True","False",13,4.5,1,1,0,"Low",3,"Frisco","TX",1200,2000,0,"Cafe",FALSE,TRUE,TRUE,FALSE
"94","bubbletea","uZKsrUwhKqP5U4SjVsHxRw","True","False",136,4,0,0,0,"Low",3,"Frisco","TX",1100,2100,0,"Cafe",FALSE,TRUE,TRUE,FALSE
"95","buffets","Sep2VU-6pMn11oFz45a2rg","True","False",372,4,1,1,0,"Medium",3,"Plano","TX",1100,2100,0,"Other",FALSE,TRUE,TRUE,FALSE
"96","burgers","cCd7Qjs5_gXjJvkJvwS0EA","True","False",47,2,0,1,0,"Low",3,"Frisco","TX",1000,0,0,"American",TRUE,FALSE,FALSE,FALSE
"97","burgers","fr9rMkLY-jRztWrT8QgYmQ","True","False",451,4,1,1,0,"Medium",3,"Plano","TX",1100,0,0,"American",FALSE,FALSE,FALSE,FALSE
"98","burgers","AiTCz58xj4U5RbSkePlV-g","True","False",36,1.5,0,1,0,"Low",3,"Frisco","TX",600,2200,0,"American",TRUE,TRUE,TRUE,FALSE
"99","burgers","6cE8x0LfybDPhe5H1FveSg","True","False",44,3.5,1,1,0,"",3,"Frisco","TX",1100,2100,1,"American",FALSE,TRUE,TRUE,FALSE
"100","burgers","7TkYToFcsYjIJ1aYq4tZCw","True","False",191,4,0,1,0,"Medium",3,"Frisco","TX",1030,2100,0,"American",FALSE,TRUE,TRUE,FALSE
"101","burgers","cP9puqDInVekjyMyZ3S6Ew","True","False",103,3,1,1,0,"Medium",3,"Frisco","TX",1030,2100,0,"American",FALSE,TRUE,TRUE,FALSE
"102","burgers","zOKgw6Fhniw1Sgrb8ZjQoA","True","False",74,3,0,0,0,"Low",3,"McKinney","TX",1030,2200,0,"American",FALSE,TRUE,TRUE,FALSE
"103","burgers","6iywwOtYOjTBOVxPvP_xaA","True","False",37,3,1,1,0,"Low",3,"Mckinney","TX",600,0,0,"American",TRUE,FALSE,FALSE,FALSE
"104","burgers","UPlWGA2JmY5fkZRyvXUQdA","True","False",142,3,1,1,0,"Medium",3,"Little Elm","TX",1100,2100,1,"American",FALSE,TRUE,TRUE,FALSE
"105","burgers","EetNVXi8X-l-rwzDgu1ZaA","True","False",73,2,0,1,0,"",3,"Prosper","TX",1100,2000,1,"American",FALSE,TRUE,TRUE,FALSE
"106","burgers","TyRw4hi7yGcYvty-JWRPlA","True","False",204,1.5,0,1,0,"Low",3,"Frisco","TX",0,0,0,"American",TRUE,FALSE,FALSE,FALSE
"107","burgers","gu0isKhH9VBEgQp3YvaMfw","True","False",42,1.5,1,1,0,"",3,"Frisco","TX",600,2300,0,"American",TRUE,TRUE,TRUE,TRUE
"108","burgers","jiJ3Nq9IbtrDkn8EOhE-8A","True","False",51,2.5,1,1,0,"Medium",3,"Frisco","TX",1100,0,1,"American",FALSE,FALSE,FALSE,FALSE
"109","burgers","SImwObdVNj5NwKdW-jpuuw","True","False",59,3,1,1,0,"",3,"Plano","TX",1100,2200,0,"American",FALSE,TRUE,TRUE,FALSE
"110","burgers","X-Q7PtcWTYvGDfOfA-QjjA","True","False",107,3,1,1,0,"Low",3,"Frisco","TX",1100,2100,0,"American",FALSE,TRUE,TRUE,FALSE
"111","burgers","H2H4tShOfQZ9AKsI8t1Rwg","True","False",15,1.5,0,1,0,"Low",3,"Allen","TX",1000,2300,1,"American",TRUE,TRUE,TRUE,TRUE
"112","burgers","os_9iQIiQ--eSFvNAIul0A","True","False",317,4,1,1,0,"Medium",3,"Frisco","TX",1200,2100,0,"American",FALSE,TRUE,TRUE,FALSE
"113","burgers","3_qHy2eIKfXlSuwRfuA8Hw","True","False",38,2,0,1,0,"Low",3,"Plano","TX",800,2300,0,"American",TRUE,TRUE,TRUE,TRUE
"114","burgers","v0IGu9WM286lyj4m0AJI8w","True","False",18,4.5,1,1,0,"",3,"Frisco","TX",700,1100,0,"American",TRUE,FALSE,FALSE,FALSE
"115","burgers","tvO2ofDdgTkWrDyDHlTd3g","True","False",169,3,0,1,0,"Medium",3,"Plano","TX",1100,2200,0,"American",FALSE,TRUE,TRUE,FALSE
"116","burgers","IJ_6VoseADX4YE9UHJoxIw","True","False",176,4,1,1,0,"Low",3,"Frisco","TX",1100,2200,1,"American",FALSE,TRUE,TRUE,FALSE
"117","burgers","vwlHCU1nZ36o7DRJiV-aLQ","True","False",85,3,0,1,0,"Low",3,"Mckinney","TX",0,0,0,"American",TRUE,FALSE,FALSE,FALSE
"118","burgers","92olaKGptfVZlLN75JDLPA","True","False",270,4.5,0,1,0,"Medium",3,"Frisco","TX",1100,2000,1,"American",FALSE,TRUE,TRUE,FALSE
"119","burgers","8FJUasAEr9GbM6bt9z4o3w","True","False",45,4.5,0,0,0,"Medium",3,"Frisco","TX",1100,2200,0,"American",FALSE,TRUE,TRUE,FALSE
"120","burgers","g1ZE_yso6z_5P3iDbEKHVA","True","False",1,4,1,1,0,"",3,"Frisco","TX",1100,2100,1,"American",FALSE,TRUE,TRUE,FALSE
"121","burgers","5y8ImahTyoCMIxMRABr1ZA","True","False",431,4,0,0,0,"Low",3,"Frisco","TX",1030,100,0,"American",FALSE,FALSE,FALSE,FALSE
"122","burgers","28BwwPQHZQUk_T-bifn_NQ","False","False",171,3.5,0,1,0,"Medium",3,"Frisco","TX",1100,2100,0,"American",FALSE,TRUE,TRUE,FALSE
"123","burgers","CIQbbv3pClkStU3dqhfbKg","True","False",25,2.5,0,1,0,"Low",3,"Prosper","TX",0,0,0,"American",TRUE,FALSE,FALSE,FALSE
"124","burgers","sDz-KIeqgHYITNl2GM7Z6A","True","False",1236,4.5,0,0,0,"Medium",3,"Frisco","TX",1100,2100,0,"American",FALSE,TRUE,TRUE,FALSE
"125","burgers","zSznTEwh__5CPSodIkdU0w","True","False",287,4,1,1,0,"Medium",3,"Frisco","TX",1100,2100,0,"American",FALSE,TRUE,TRUE,FALSE
"126","burgers","FhLnYcXY5VVallPb74NanA","True","False",138,4,1,1,0,"",3,"Plano","TX",1030,2200,0,"American",FALSE,TRUE,TRUE,FALSE
"127","burgers","rneHZ-Ls54Zx0_Y1qVkeTg","True","False",7,3,1,1,0,"",3,"Little Elm","TX",1100,2200,1,"American",FALSE,TRUE,TRUE,FALSE
"128","burgers","TkXqAEK6DsbuMM32YtUQDA","False","False",2,1,0,0,0,"",0,"Frisco","TX",NA,NA,0,"American",NA,NA,NA,NA
"129","cafes","Yb83MXgnK5MR-KEMd0PrZw","True","False",3,4.5,0,1,0,"",0,"Plano","TX",730,1530,0,"Cafe",TRUE,TRUE,FALSE,FALSE
"130","cafes","xVz0QrAeFT7wrkmwyPdSyQ","True","False",836,4.5,1,1,0,"Medium",3,"Frisco","TX",630,1430,1,"Cafe",TRUE,TRUE,FALSE,FALSE
"131","cafes","1KLl03kQJT8otvpUdRLwVA","True","False",532,2.5,1,1,0,"Medium",3,"Plano","TX",1100,0,0,"Cafe",FALSE,FALSE,FALSE,FALSE
"132","cafes","uZ6mBlUQAfSLhisJLIJmqw","True","False",63,4.5,0,0,0,"Low",3,"Frisco","TX",630,1700,1,"Cafe",TRUE,TRUE,FALSE,FALSE
"133","cafes","Zm4b-zWNOWVnru2aLENOzg","False","False",2,2.5,0,0,0,"",2,"Frisco","TX",NA,NA,0,"Cafe",NA,NA,NA,NA
"134","cafes","de7yjE4hCubxhGJ2etyjhQ","False","False",11,3,0,0,0,"Low",3,"Frisco","TX",NA,NA,0,"Cafe",NA,NA,NA,NA
"135","cafes","yMxxZRtOcF1qvra5zAKESg","True","False",392,3.5,1,1,0,"Medium",3,"Frisco","TX",700,2000,0,"Cafe",TRUE,TRUE,TRUE,FALSE
"136","cafes","soD-cFZRyDV8vfOqjGZN6g","True","False",164,3.5,1,1,0,"Medium",3,"Frisco","TX",630,1800,0,"Cafe",TRUE,TRUE,TRUE,FALSE
"137","cafes","IC1A5xLL1OSK1Q7j6jYJeQ","True","False",87,3,1,1,0,"Low",3,"Frisco","TX",630,1930,0,"Cafe",TRUE,TRUE,TRUE,FALSE
"138","cafes","cnVsj6X0SCg7gzsm1G3D-Q","True","False",1,5,0,0,0,"",0,"Frisco","TX",700,1600,0,"Cafe",TRUE,TRUE,FALSE,FALSE
"139","cafes","8Qsd-RdR90QOZdUpG30-fg","True","False",8,5,0,1,0,"",2,"Plano","TX",NA,NA,0,"Cafe",NA,NA,NA,NA
"140","cafes","eoBID5gflQpb5P2APgq3Fg","True","False",167,4.5,0,1,0,"Low",3,"Frisco","TX",1000,2100,0,"Cafe",TRUE,TRUE,TRUE,FALSE
"141","cajun","AMrvcVbz1IfBfr6FmqEOtg","True","False",5,3,1,1,0,"",3,"Frisco","TX",800,1700,1,"American",TRUE,TRUE,FALSE,FALSE
"142","cajun","XY2R-4zbFaFvou7jvUELDw","True","False",208,4,0,1,0,"Medium",3,"Frisco","TX",1100,2100,1,"American",FALSE,TRUE,TRUE,FALSE
"143","cajun","ETA-JSx9f5wjDqWFKoOPIA","True","False",194,3,1,0,0,"Medium",3,"Frisco","TX",1100,2200,1,"American",FALSE,TRUE,TRUE,FALSE
"144","cajun","orsc-l0O4p17u0-E41moxg","True","False",22,4.5,0,0,0,"",3,"Frisco","TX",800,1800,1,"American",TRUE,TRUE,TRUE,FALSE
"145","cajun","ls16f4kuadN-5pohYZJgiA","False","False",5,4,0,0,0,"",3,"Frisco","TX",1300,1900,0,"American",FALSE,FALSE,TRUE,FALSE
"146","cajun","Fknrudb49wLWaaYI0CJYOw","True","False",245,3.5,1,1,0,"Medium",3,"The Colony","TX",1100,2200,0,"American",FALSE,TRUE,TRUE,FALSE
"147","cajun","7MZ9A8phbfac39wCct9qUg","False","False",2,3,0,0,0,"",2,"Frisco","TX",1100,2000,0,"American",FALSE,TRUE,TRUE,FALSE
"148","cakeshop","O5Eo6wkdzu6CTeUEcwkSYg","True","False",1,4,0,0,0,"",0,"Frisco","TX",800,1600,1,"Snacks/Dessert",TRUE,TRUE,FALSE,FALSE
