,id,is_claimed,is_closed,review_count,rating,Restaurant Category 1,Restaurant Category 2,Restaurant Category 3,Pickup Available,Delivery Available,Reservation Available,Price Level,number of photos,City,State,Zip Code,Opening Time,Closing Time,Has Messaging
133,Fg0-nF1sgA7AAIlOzTokqQ,False,False,65,4.0,burgers,sandwiches,,1,1,0,Low,3,Conroe,TX,77304,1000.0,2000.0,0
134,-eRHIvA0QECPnWjHey_LFw,True,False,41,3.5,mexican,,,0,1,0,,3,Conroe,TX,77304,,,0
135,9UXEUelJJoFTAlyZt5Sk7A,True,False,58,3.5,delis,sandwiches,salad,1,1,0,Medium,3,Conroe,TX,77304,630.0,2200.0,0
136,o_xTS2-G_KlqsrdyB1qSyg,True,False,45,2.0,diners,tradamerican,breakfast_brunch,1,1,0,Medium,3,Conroe,TX,77303,0.0,0.0,0
137,LfNhePqiMtadvXqc6Ak3XQ,True,False,41,2.0,chicken_wings,,,0,0,0,Medium,3,Conroe,TX,77301,1100.0,2300.0,1
138,XWuZqLeQP2POhJpL9kxAug,True,False,9,2.5,pizza,chicken_wings,hotdogs,0,1,0,Low,3,Conroe,TX,77301,1000.0,2300.0,0
139,sd_dDD0F4tjl9_gyPAFtCQ,True,False,56,4.0,mexican,tex-mex,,1,0,0,Medium,3,Conroe,TX,77303,1030.0,2130.0,0
140,DDPh2-cspewXuYOzhkJ-FQ,False,False,41,4.0,mexican,,,0,1,0,Medium,3,Conroe,TX,77301,700.0,2300.0,0
141,nOceUGCJTEpJrqj5go2DKg,True,False,131,3.5,mexican,,,0,1,0,Medium,3,Conroe,TX,77301,1100.0,2200.0,0
142,jk5x3y3VkvgG28Ccn-hfyg,True,False,110,2.5,chinese,,,0,1,0,Low,3,Conroe,TX,77303,1100.0,2100.0,1
143,hPdJrc4iOomO_pocuuLFHA,False,False,33,3.5,mexican,,,0,1,0,Low,3,Conroe,TX,77301,,,0
144,SfxbFn9c5k5cj-V7J7H9PA,True,False,11,3.0,hotdogs,burgers,icecream,0,0,0,Low,3,Conroe,TX,77301,630.0,2200.0,1
145,EwNtPe8C24Yqwx7IsWS5xw,True,False,16,1.5,burgers,hotdogs,,0,1,0,Low,3,Conroe,TX,77301,600.0,2330.0,0
146,K52e5pmP5ss-I0i1P2Lf0g,True,False,13,2.0,hotdogs,burgers,coffee,0,1,0,Low,3,Conroe,TX,77301,0.0,0.0,0
147,yiQVxTdWkN6VFqL6tQXCmA,True,False,24,2.5,pizza,chicken_wings,sandwiches,0,0,0,Low,3,Conroe,TX,77301,1000.0,0.0,0
148,0aBXDz1mpMIatRRD5PDcoA,True,False,6,2.5,hotdogs,sandwiches,,1,1,0,Low,3,Conroe,TX,77301,600.0,2200.0,1
149,sofspcR1I5F3XZrDWui05A,True,False,25,1.5,pizza,chicken_wings,hotdogs,1,1,0,Low,3,Conroe,TX,77301,930.0,2300.0,0
150,f5S7DBTseCrXEypB8JFHYg,True,False,12,2.0,sandwiches,,,1,1,0,Low,3,Conroe,TX,77079,700.0,2200.0,0
151,8eySARw0-20Vps-D6NYcsg,True,False,140,4.5,vietnamese,,,0,1,0,Low,3,Conroe,TX,77301,1100.0,2100.0,0
152,YJqrFyFMY9xFhUModvy_2Q,True,False,144,4.0,chinese,buffets,,1,1,0,Medium,3,Conroe,TX,77301,1100.0,2130.0,0
153,Ti3iwNibuXwYfQxwyLIaJA,True,False,38,1.5,pizza,hotdogs,,0,0,0,Low,1,Conroe,TX,77301,1030.0,2200.0,0
154,-tkdeauvtTrieyXg8sOsRA,False,False,2,5.0,bars,musicvenues,pizza,0,0,0,,3,Conroe,TX,77303,,,0
155,W8BPNYV9vlbYLBm_fdZPug,True,False,12,4.5,chicken_wings,,,0,0,0,,3,Conroe,TX,77301,1100.0,2100.0,0
156,zcfmqdr_D-metKjwDBqBDw,True,False,1,1.0,tacos,tex-mex,,0,1,0,,3,Conroe,TX,77303,500.0,1600.0,0
157,TG1FRJkv_9PqoC8Ty5gn-A,True,False,3,5.0,coffee,venezuelan,breakfast_brunch,1,1,0,,3,Montgomery,TX,77316,730.0,1500.0,1
158,EYBi32S9RgOcOZ4NOFCHjQ,True,False,2,4.5,bbq,foodtrucks,,0,0,0,,3,Conroe,TX,77304,,,0
159,_no_KrXSsSE7WySPVKbxUw,True,False,93,4.0,tex-mex,mexican,bars,0,1,0,Medium,3,Conroe,TX,77304,1100.0,2130.0,0
160,0SX8pi3pAFKFRyQOppIkfw,True,False,150,3.5,italian,pizza,sandwiches,1,1,0,Medium,3,Conroe,TX,77304,1100.0,2100.0,0
161,md4ZJOw3BDr1Z67odgPv9g,True,False,15,1.5,sandwiches,,,1,1,0,Low,3,Conroe,TX,77304,800.0,2200.0,0
162,OjcLJzu7Ubw6PwN3twh8oQ,False,False,45,2.5,hotdogs,chicken_wings,,0,1,0,Low,3,Conroe,TX,77304,1030.0,2200.0,0
163,k0ZEzP3O4pm04Bw1Svjm-g,True,False,58,4.0,seafood,mexican,,1,0,0,Medium,3,Conroe,TX,77301,1100.0,2200.0,0
164,LZP4TfleVRN_RxeyzFtfhA,True,False,76,3.5,icecream,burgers,hotdogs,0,1,0,Low,3,Conroe,TX,77304,1030.0,2200.0,1
165,sRIPdE-5kiKyMwhgKPIQqg,True,False,16,4.5,hotdogs,delis,sandwiches,1,1,0,,3,Conroe,TX,77304,1000.0,2100.0,0
166,A3MMz7VIluWFA5xtsiHARQ,True,False,37,3.0,tex-mex,mexican,,1,1,0,Medium,3,Conroe,TX,77304,1100.0,2100.0,1
167,16yHrhihf3-dNhUWW744Rw,True,False,48,1.5,chicken_wings,hotdogs,chickenshop,1,1,0,Low,3,Conroe,TX,77304,1030.0,2200.0,0
168,PmbkHT4b13aa66tUfQZyrA,True,False,14,2.0,hotdogs,burgers,tacos,0,0,0,Low,3,Conroe,TX,77304,0.0,0.0,0
169,k9fgNXHN7yqT36tLODXO9g,True,False,3,2.0,coffee,burgers,hotdogs,0,1,0,Low,1,Conroe,TX,77301,600.0,2300.0,0
170,XuJL5nyo3vbzMegZn2XJsQ,True,False,67,4.0,buffets,chinese,,1,1,0,,3,Conroe,TX,77301,1030.0,2130.0,0
171,z6hbGJWhf4n0HbuOx7ySJg,True,False,137,3.0,dinnertheater,,,1,1,0,Medium,3,Conroe,TX,77301,,,1
172,Skptw9tL-l16HAODiZNcPQ,True,False,82,4.5,mexican,,,1,1,0,,3,Conroe,TX,77301,800.0,2200.0,1
173,nQbq1vQG8HjteuwyvydPgQ,True,False,32,4.0,mexican,,,0,1,0,Low,3,Conroe,TX,77301,700.0,2100.0,0
174,yuvrCk_AIHrV27138cf-FQ,True,False,15,4.0,mexican,,,1,1,0,,3,Conroe,TX,77301,700.0,1500.0,1
175,kxmlHZQSOpR4qcVEdUqARA,False,False,3,4.0,mexican,,,0,0,0,,3,Conroe,TX,77301,900.0,2000.0,0
176,aXtr3R14exw9GCw5FXsnkg,True,False,28,2.5,burgers,hotdogs,,0,1,0,Low,3,Conroe,TX,77301,0.0,0.0,0
177,vZYAYmrWmOtRTEayff8XPQ,True,False,1,1.0,sandwiches,,,1,1,0,,3,Conroe,TX,77304,700.0,2000.0,0
