,id,is_claimed,is_closed,review_count,rating,Restaurant Category,Pickup Available,Delivery Available,Reservation Available,Price Level,number of photos,City,State,Opening Time,Closing Time,Has Messaging
40,K6uhvt5algyP_bDC-Orezg,True,False,102.0,4.0,burgers,1.0,1.0,0.0,Medium,3.0,Lewisville,TX,1500,2145,1
41,B3Y5oRXyWv_rqfBY7y0eHQ,True,False,102.0,4.0,chinese,1.0,1.0,0.0,Medium,3.0,Lewisville,TX,1100,2130,0
42,QftgfJVKzpbo7hFLKiamgQ,True,False,205.0,3.5,chinese,0.0,1.0,0.0,Low,3.0,Carrollton,TX,1100,2100,0
43,ulXUETwAU-JVzwG_SgaqYQ,True,False,40.0,4.5,salad,0.0,0.0,0.0,Low,3.0,Carrollton,TX,0630,2100,0
44,Lsq3YEKaJ_D95kQ_VsC42w,True,False,46.0,4.0,donuts,0.0,1.0,0.0,Low,3.0,Carrollton,TX,0600,1400,1
45,qPorvbC8JWWEWPWnGCSC3Q,True,False,143.0,3.0,mexican,1.0,1.0,0.0,Low,3.0,Carrollton,TX,0700,2200,0
46,9xHafXOgANZqUp8xuk9uDA,True,False,39.0,2.5,hotdogs,1.0,1.0,0.0,Low,3.0,Carrollton,TX,,,1
47,xxIP6zJpVEgkXQSrJPHj4Q,True,False,42.0,3.5,hotdogs,0.0,0.0,0.0,Low,3.0,Carrollton,TX,1100,2200,1
48,qxOF8Yrv0JSvwFSBBR1VcA,True,False,72.0,2.0,burgers,0.0,1.0,0.0,Low,3.0,Carrollton,TX,0500,0200,0
49,tNuaneXVZW6XNJkZAOoQEA,True,False,15.0,4.0,burgers,0.0,1.0,0.0,Low,3.0,Carrollton,TX,1000,0000,1
50,bPToC8guTVtvV7qUQJnByw,True,False,44.0,2.0,hotdogs,1.0,1.0,0.0,Low,3.0,Carrollton,TX,1030,2300,0
51,PZgvSxemfHb-yP382xlSSA,True,False,40.0,2.0,chinese,1.0,1.0,0.0,Low,3.0,Carrollton,TX,1030,2200,0
52,BQlYIIe1GGWqnTpVtFWl9A,True,False,37.0,2.0,hotdogs,0.0,1.0,0.0,Low,3.0,Carrollton,TX,0700,0000,0
53,nhFYyPt7cwvD9PV0kPhoUg,True,False,7.0,2.5,sandwiches,1.0,1.0,0.0,Low,3.0,Carrollton,TX,0900,2130,0
54,vB3bcqeuk8vrAZTxr2Ob6g,True,False,33.0,2.0,pizza,1.0,1.0,0.0,Low,3.0,Carrollton,TX,1100,2200,0
55,iHv1tPH1fstNlOKjQSl-mw,True,False,34.0,4.0,bbq,0.0,1.0,0.0,Low,3.0,Carrollton,TX,1100,1800,1
56,sWJZtLGLQVUQneI_XoCh9w,True,False,309.0,4.5,burgers,1.0,1.0,0.0,Medium,3.0,Carrollton,TX,1100,2100,0
57,IwLvGceUMz_yi_InxXwerg,True,False,247.0,4.0,greek,1.0,1.0,0.0,Medium,3.0,Carrollton,TX,1100,2100,1
58,g_K1ItQql9qeXSQOu48zag,True,False,447.0,4.0,sushi,1.0,1.0,0.0,Medium,3.0,Carrollton,TX,1100,1430,0
59,ptGj1QYBLflNdB_kMH9Mzg,True,False,166.0,3.5,pizza,1.0,1.0,0.0,Low,3.0,Carrollton,TX,1100,2000,0
60,_R3eF-HoYdvCZpkb1fuXwA,True,False,3.0,5.0,vegan,1.0,1.0,0.0,,3.0,Carrollton,TX,0700,2100,1
61,DPxAHDHSNWGXtAeu3D3BOA,True,False,54.0,2.5,bbq,1.0,1.0,0.0,Medium,3.0,Carrollton,TX,1100,2100,0
62,fW3C28eNqkW4dcCMsRFxkA,True,False,99.0,4.5,chinese,1.0,1.0,0.0,Medium,3.0,Carrollton,TX,1100,1500,0
63,Q301vTPPd9gGecAy57tkiA,True,False,355.0,4.5,cuban,1.0,1.0,0.0,Medium,3.0,Plano,TX,1100,2100,0
64,71KKkIdyao8HSw94KqJT_Q,True,False,45.0,4.5,breakfast_brunch,1.0,1.0,0.0,,3.0,Plano,TX,0700,1430,1
65,8xXxC5wnsmdqIIa-6qhdVQ,True,False,214.0,4.5,ramen,1.0,1.0,0.0,Medium,3.0,Plano,TX,1100,2130,0
66,Lc4FhMYGTA1lRyoRFle7CA,True,False,92.0,4.0,mexican,0.0,0.0,0.0,Medium,3.0,Plano,TX,1100,2100,0
67,3tcn58HrlS8842P_VcEsag,True,False,272.0,4.0,japanese,1.0,1.0,0.0,Medium,3.0,Carrollton,TX,1100,2100,0
68,1zWoIgknv8rJtxrZXGHaSA,False,False,108.0,4.0,southern,0.0,0.0,0.0,Medium,3.0,Plano,TX,1100,2100,0
69,FAO8vFJkHYzjBHg0QkzfEg,True,False,189.0,4.0,chicken_wings,0.0,0.0,0.0,Medium,3.0,Plano,TX,1100,2100,1
