Y,X,id,Unnamed: 3,0,1
3899420.82701148,-10798061.5201113,0,,-97.00063702378854,33.03101061042624
3899420.82701148,-10797061.5201113,1,,-96.99165387094733,33.03101061042624
3899420.82701148,-10796061.5201113,2,,-96.98267071810614,33.03101061042624
3899420.82701148,-10795061.5201113,3,,-96.97368756526495,33.03101061042624
3899420.82701148,-10794061.5201113,4,,-96.96470441242376,33.03101061042624
3899420.82701148,-10793061.5201113,5,,-96.95572125958256,33.03101061042624
3899420.82701148,-10792061.5201113,6,,-96.94673810674136,33.03101061042624
3899420.82701148,-10791061.5201113,7,,-96.93775495390017,33.03101061042624
3899420.82701148,-10790061.5201113,8,,-96.92877180105897,33.03101061042624
3899420.82701148,-10789061.5201113,9,,-96.91978864821779,33.03101061042624
3899420.82701148,-10788061.5201113,10,,-96.9108054953766,33.03101061042624
3899420.82701148,-10787061.5201113,11,,-96.9018223425354,33.03101061042624
3899420.82701148,-10786061.5201113,12,,-96.89283918969419,33.03101061042624
3899420.82701148,-10785061.5201113,13,,-96.88385603685299,33.03101061042624
3899420.82701148,-10784061.5201113,14,,-96.8748728840118,33.03101061042624
3899420.82701148,-10783061.5201113,15,,-96.86588973117061,33.03101061042624
3899420.82701148,-10782061.5201113,16,,-96.85690657832941,33.03101061042624
3899420.82701148,-10781061.5201113,17,,-96.84792342548822,33.03101061042624
3899420.82701148,-10780061.5201113,18,,-96.83894027264702,33.03101061042624
3899420.82701148,-10779061.5201113,19,,-96.82995711980583,33.03101061042624
3899420.82701148,-10778061.5201113,20,,-96.82097396696464,33.03101061042624
3899420.82701148,-10777061.5201113,21,,-96.81199081412345,33.03101061042624
3899420.82701148,-10776061.5201113,22,,-96.80300766128224,33.03101061042624
3899420.82701148,-10775061.5201113,23,,-96.79402450844104,33.03101061042624
3899420.82701148,-10774061.5201113,24,,-96.78504135559984,33.03101061042624
3899420.82701148,-10773061.5201113,25,,-96.77605820275865,33.03101061042624
3899420.82701148,-10772061.5201113,26,,-96.76707504991747,33.03101061042624
3899420.82701148,-10771061.5201113,27,,-96.75809189707627,33.03101061042624
3899420.82701148,-10770061.5201113,28,,-96.74910874423507,33.03101061042624
3899420.82701148,-10769061.5201113,29,,-96.74012559139388,33.03101061042624
3899420.82701148,-10768061.5201113,30,,-96.73114243855268,33.03101061042624
3899420.82701148,-10767061.5201113,31,,-96.72215928571148,33.03101061042624
3899420.82701148,-10766061.5201113,32,,-96.7131761328703,33.03101061042624
3899420.82701148,-10765061.5201113,33,,-96.70419298002909,33.03101061042624
3899420.82701148,-10764061.5201113,34,,-96.6952098271879,33.03101061042624
3899420.82701148,-10763061.5201113,35,,-96.6862266743467,33.03101061042624
3899420.82701148,-10762061.5201113,36,,-96.6772435215055,33.03101061042624
3899420.82701148,-10761061.5201113,37,,-96.6682603686643,33.03101061042624
3899420.82701148,-10760061.5201113,38,,-96.65927721582312,33.03101061042624
3899420.82701148,-10759061.5201113,39,,-96.65029406298193,33.03101061042624
3899420.82701148,-10758061.5201113,40,,-96.64131091014073,33.03101061042624
3899420.82701148,-10757061.5201113,41,,-96.63232775729954,33.03101061042624
3899420.82701148,-10756061.5201113,42,,-96.62334460445834,33.03101061042624
3899420.82701148,-10755061.5201113,43,,-96.61436145161714,33.03101061042624
3899420.82701148,-10754061.5201113,44,,-96.60537829877595,33.03101061042624
3899420.82701148,-10753061.5201113,45,,-96.59639514593475,33.03101061042624
3899420.82701148,-10752061.5201113,46,,-96.58741199309355,33.03101061042624
3899420.82701148,-10751061.5201113,47,,-96.57842884025236,33.03101061042624
3899420.82701148,-10750061.5201113,48,,-96.56944568741116,33.03101061042624
3899420.82701148,-10749061.5201113,49,,-96.56046253456996,33.03101061042624
3899420.82701148,-10748061.5201113,50,,-96.55147938172878,33.03101061042624
3899420.82701148,-10747061.5201113,51,,-96.54249622888759,33.03101061042624
3899420.82701148,-10746061.5201113,52,,-96.53351307604639,33.03101061042624
3899420.82701148,-10745061.5201113,53,,-96.5245299232052,33.03101061042624
3899420.82701148,-10744061.5201113,54,,-96.515546770364,33.03101061042624
3899420.82701148,-10743061.5201113,55,,-96.5065636175228,33.03101061042624
3899420.82701148,-10742061.5201113,56,,-96.4975804646816,33.03101061042624
3899420.82701148,-10741061.5201113,57,,-96.48859731184041,33.03101061042624
3899420.82701148,-10740061.5201113,58,,-96.47961415899921,33.03101061042624
3899420.82701148,-10739061.5201113,59,,-96.47063100615802,33.03101061042624
3898420.82701148,-10798061.5201113,60,,-97.00063702378854,33.02347903187029
3898420.82701148,-10797061.5201113,61,,-96.99165387094733,33.02347903187029
3898420.82701148,-10796061.5201113,62,,-96.98267071810614,33.02347903187029
3898420.82701148,-10795061.5201113,63,,-96.97368756526495,33.02347903187029
3898420.82701148,-10794061.5201113,64,,-96.96470441242376,33.02347903187029
3898420.82701148,-10793061.5201113,65,,-96.95572125958256,33.02347903187029
3898420.82701148,-10792061.5201113,66,,-96.94673810674136,33.02347903187029
3898420.82701148,-10791061.5201113,67,,-96.93775495390017,33.02347903187029
3898420.82701148,-10790061.5201113,68,,-96.92877180105897,33.02347903187029
3898420.82701148,-10789061.5201113,69,,-96.91978864821779,33.02347903187029
3898420.82701148,-10788061.5201113,70,,-96.9108054953766,33.02347903187029
3898420.82701148,-10787061.5201113,71,,-96.9018223425354,33.02347903187029
3898420.82701148,-10786061.5201113,72,,-96.89283918969419,33.02347903187029
3898420.82701148,-10785061.5201113,73,,-96.88385603685299,33.02347903187029
3898420.82701148,-10784061.5201113,74,,-96.8748728840118,33.02347903187029
