Y,X,id,
3899420.82701148,-10798061.5201113,"0"
3899420.82701148,-10797061.5201113,"1"
3899420.82701148,-10796061.5201113,"2"
3899420.82701148,-10795061.5201113,"3"
3899420.82701148,-10794061.5201113,"4"
3899420.82701148,-10793061.5201113,"5"
3899420.82701148,-10792061.5201113,"6"
3899420.82701148,-10791061.5201113,"7"
3899420.82701148,-10790061.5201113,"8"
3899420.82701148,-10789061.5201113,"9"
3899420.82701148,-10788061.5201113,"10"
3899420.82701148,-10787061.5201113,"11"
3899420.82701148,-10786061.5201113,"12"
3899420.82701148,-10785061.5201113,"13"
3899420.82701148,-10784061.5201113,"14"
3899420.82701148,-10783061.5201113,"15"
3899420.82701148,-10782061.5201113,"16"
3899420.82701148,-10781061.5201113,"17"
3899420.82701148,-10780061.5201113,"18"
3899420.82701148,-10779061.5201113,"19"
3899420.82701148,-10778061.5201113,"20"
3899420.82701148,-10777061.5201113,"21"
3899420.82701148,-10776061.5201113,"22"
3899420.82701148,-10775061.5201113,"23"
3899420.82701148,-10774061.5201113,"24"
3899420.82701148,-10773061.5201113,"25"
3899420.82701148,-10772061.5201113,"26"
3899420.82701148,-10771061.5201113,"27"
3899420.82701148,-10770061.5201113,"28"
3899420.82701148,-10769061.5201113,"29"
3899420.82701148,-10768061.5201113,"30"
3899420.82701148,-10767061.5201113,"31"
3899420.82701148,-10766061.5201113,"32"
3899420.82701148,-10765061.5201113,"33"
3899420.82701148,-10764061.5201113,"34"
3899420.82701148,-10763061.5201113,"35"
3899420.82701148,-10762061.5201113,"36"
3899420.82701148,-10761061.5201113,"37"
3899420.82701148,-10760061.5201113,"38"
3899420.82701148,-10759061.5201113,"39"
3899420.82701148,-10758061.5201113,"40"
3899420.82701148,-10757061.5201113,"41"
3899420.82701148,-10756061.5201113,"42"
3899420.82701148,-10755061.5201113,"43"
3899420.82701148,-10754061.5201113,"44"
3899420.82701148,-10753061.5201113,"45"
3899420.82701148,-10752061.5201113,"46"
3899420.82701148,-10751061.5201113,"47"
3899420.82701148,-10750061.5201113,"48"
3899420.82701148,-10749061.5201113,"49"
3899420.82701148,-10748061.5201113,"50"
3899420.82701148,-10747061.5201113,"51"
3899420.82701148,-10746061.5201113,"52"
3899420.82701148,-10745061.5201113,"53"
3899420.82701148,-10744061.5201113,"54"
3899420.82701148,-10743061.5201113,"55"
3899420.82701148,-10742061.5201113,"56"
3899420.82701148,-10741061.5201113,"57"
3899420.82701148,-10740061.5201113,"58"
3899420.82701148,-10739061.5201113,"59"
3898420.82701148,-10798061.5201113,"60"
3898420.82701148,-10797061.5201113,"61"
3898420.82701148,-10796061.5201113,"62"
3898420.82701148,-10795061.5201113,"63"
3898420.82701148,-10794061.5201113,"64"
3898420.82701148,-10793061.5201113,"65"
3898420.82701148,-10792061.5201113,"66"
3898420.82701148,-10791061.5201113,"67"
3898420.82701148,-10790061.5201113,"68"
3898420.82701148,-10789061.5201113,"69"
3898420.82701148,-10788061.5201113,"70"
3898420.82701148,-10787061.5201113,"71"
3898420.82701148,-10786061.5201113,"72"
3898420.82701148,-10785061.5201113,"73"
3898420.82701148,-10784061.5201113,"74"
3898420.82701148,-10783061.5201113,"75"
3898420.82701148,-10782061.5201113,"76"
3898420.82701148,-10781061.5201113,"77"
3898420.82701148,-10780061.5201113,"78"
3898420.82701148,-10779061.5201113,"79"
3898420.82701148,-10778061.5201113,"80"
3898420.82701148,-10777061.5201113,"81"
3898420.82701148,-10776061.5201113,"82"
3898420.82701148,-10775061.5201113,"83"
3898420.82701148,-10774061.5201113,"84"
3898420.82701148,-10773061.5201113,"85"
3898420.82701148,-10772061.5201113,"86"
3898420.82701148,-10771061.5201113,"87"
3898420.82701148,-10770061.5201113,"88"
3898420.82701148,-10769061.5201113,"89"
3898420.82701148,-10768061.5201113,"90"
3898420.82701148,-10767061.5201113,"91"
3898420.82701148,-10766061.5201113,"92"
3898420.82701148,-10765061.5201113,"93"
3898420.82701148,-10764061.5201113,"94"
3898420.82701148,-10763061.5201113,"95"
3898420.82701148,-10762061.5201113,"96"
3898420.82701148,-10761061.5201113,"97"
3898420.82701148,-10760061.5201113,"98"
3898420.82701148,-10759061.5201113,"99"
3898420.82701148,-10758061.5201113,"100"
3898420.82701148,-10757061.5201113,"101"
3898420.82701148,-10756061.5201113,"102"
3898420.82701148,-10755061.5201113,"103"
3898420.82701148,-10754061.5201113,"104"
3898420.82701148,-10753061.5201113,"105"
3898420.82701148,-10752061.5201113,"106"
3898420.82701148,-10751061.5201113,"107"
3898420.82701148,-10750061.5201113,"108"
3898420.82701148,-10749061.5201113,"109"
3898420.82701148,-10748061.5201113,"110"
3898420.82701148,-10747061.5201113,"111"
3898420.82701148,-10746061.5201113,"112"
3898420.82701148,-10745061.5201113,"113"
3898420.82701148,-10744061.5201113,"114"
3898420.82701148,-10743061.5201113,"115"
3898420.82701148,-10742061.5201113,"116"
3898420.82701148,-10741061.5201113,"117"
3898420.82701148,-10740061.5201113,"118"
3898420.82701148,-10739061.5201113,"119"
3897420.82701148,-10798061.5201113,"120"
3897420.82701148,-10797061.5201113,"121"
3897420.82701148,-10796061.5201113,"122"
3897420.82701148,-10795061.5201113,"123"
3897420.82701148,-10794061.5201113,"124"
3897420.82701148,-10793061.5201113,"125"
3897420.82701148,-10792061.5201113,"126"
3897420.82701148,-10791061.5201113,"127"
3897420.82701148,-10790061.5201113,"128"
3897420.82701148,-10789061.5201113,"129"
3897420.82701148,-10788061.5201113,"130"
3897420.82701148,-10787061.5201113,"131"
